Player_ID,Player_Name,Player_URL,Country_Name,Country_ID,Country_URL,Club_Name,Club_ID,Club_URL,Position,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Prefer_Foot,Height,KG,Club_Level
242948,Matěj Kovář,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p242948.png?padding=0.7,Czech Republic,12,https://drop-assets.ea.com/images/3yIKmUj5BRZgJtSLR6do7t/484fa785d4f5c3f900ba80eddf3a70dc/f_12.png,,,,GK,75,74,75,78,75,30,77,Right,196,89,Eredivisie
221909,Jindřich Staněk,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p221909.png?padding=0.7,Czech Republic,12,https://drop-assets.ea.com/images/3yIKmUj5BRZgJtSLR6do7t/484fa785d4f5c3f900ba80eddf3a70dc/f_12.png,Slavia Praha,266,https://drop-assets.ea.com/images/50ZlXnzmauE6zv0Hn5WifN/8d941df874a7753f22f33585999fa0ce/l266.png,GK,76,74,71,78,78,36,76,Right,192,90,Česká Liga
258936,Lukáš Horníček,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p258936.png?padding=0.7,Czech Republic,12,https://drop-assets.ea.com/images/3yIKmUj5BRZgJtSLR6do7t/484fa785d4f5c3f900ba80eddf3a70dc/f_12.png,SC Braga,1896,https://drop-assets.ea.com/images/4qjtfL57Y3CxvssFaOwnJT/08cfda01d445741b93fd0f8163a4b267/l1896.png,GK,72,72,67,69,75,28,75,Right,194,90,Liga Portugal
244470,Vladimír Coufal,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p244470.png?padding=0.7,Czech Republic,12,https://drop-assets.ea.com/images/3yIKmUj5BRZgJtSLR6do7t/484fa785d4f5c3f900ba80eddf3a70dc/f_12.png,TSG Hoffenheim,10029,https://drop-assets.ea.com/images/1ylwMQ1ia5SGcXYoIKhtdK/b24a8fed6fb30e01ea3fd15184b0046c/l10029.png,RB,73,58,56,70,70,74,71,Right,175,76,Bundesliga
251116,Tomáš Holeš,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p251116.png?padding=0.7,Czech Republic,12,https://drop-assets.ea.com/images/3yIKmUj5BRZgJtSLR6do7t/484fa785d4f5c3f900ba80eddf3a70dc/f_12.png,Slavia Praha,266,https://drop-assets.ea.com/images/50ZlXnzmauE6zv0Hn5WifN/8d941df874a7753f22f33585999fa0ce/l266.png,CB,76,74,58,69,69,75,80,Right,180,73,Česká Liga
252064,Ladislav Krejčí,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p252064.png?padding=0.7,Czech Republic,12,https://drop-assets.ea.com/images/3yIKmUj5BRZgJtSLR6do7t/484fa785d4f5c3f900ba80eddf3a70dc/f_12.png,Wolves,110,https://drop-assets.ea.com/images/3DIKyPF6XcAgIrI3Wv0UBo/4b26ac5525105f84de13860ebe177633/l110.png,CB,78,72,68,68,69,76,84,Left,191,87,Premier League
255687,David Zima,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p255687.png?padding=0.7,Czech Republic,12,https://drop-assets.ea.com/images/3yIKmUj5BRZgJtSLR6do7t/484fa785d4f5c3f900ba80eddf3a70dc/f_12.png,Slavia Praha,266,https://drop-assets.ea.com/images/50ZlXnzmauE6zv0Hn5WifN/8d941df874a7753f22f33585999fa0ce/l266.png,CB,74,76,38,54,62,75,75,Right,190,80,Česká Liga
199323,Jaroslav Zelený,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p199323.png?padding=0.7,Czech Republic,12,https://drop-assets.ea.com/images/3yIKmUj5BRZgJtSLR6do7t/484fa785d4f5c3f900ba80eddf3a70dc/f_12.png,Sparta Praha,267,https://drop-assets.ea.com/images/WsjKkMgEXh4mceoAQzFIi/d0b9c0ac886f0f3f3f91ca6ebda21577/l267.png,CB,72,74,62,69,70,71,75,Left,190,79,Česká Liga
267594,David Jurásek,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p267594.png?padding=0.7,Czech Republic,12,https://drop-assets.ea.com/images/3yIKmUj5BRZgJtSLR6do7t/484fa785d4f5c3f900ba80eddf3a70dc/f_12.png,Beşiktaş,327,https://drop-assets.ea.com/images/Sx4dfrxgLrl3y1lm5Wj8p/fe2d92ed674ea49ea5ee3ac8d9842897/l327.png,LB,73,83,61,68,72,67,74,Left,183,76,Trendyol Süper Lig
269509,David Douděra,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p269509.png?padding=0.7,Czech Republic,12,https://drop-assets.ea.com/images/3yIKmUj5BRZgJtSLR6do7t/484fa785d4f5c3f900ba80eddf3a70dc/f_12.png,Slavia Praha,266,https://drop-assets.ea.com/images/50ZlXnzmauE6zv0Hn5WifN/8d941df874a7753f22f33585999fa0ce/l266.png,RM,74,89,66,65,72,65,67,Right,175,66,Česká Liga
276646,Robin Hranáč,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p276646.png?padding=0.7,Czech Republic,12,https://drop-assets.ea.com/images/3yIKmUj5BRZgJtSLR6do7t/484fa785d4f5c3f900ba80eddf3a70dc/f_12.png,TSG Hoffenheim,10029,https://drop-assets.ea.com/images/1ylwMQ1ia5SGcXYoIKhtdK/b24a8fed6fb30e01ea3fd15184b0046c/l10029.png,CB,71,75,38,51,52,70,76,Right,189,87,Bundesliga
73456,Štěpán Chaloupek,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p73456.png?padding=0.7,Czech Republic,12,https://drop-assets.ea.com/images/3yIKmUj5BRZgJtSLR6do7t/484fa785d4f5c3f900ba80eddf3a70dc/f_12.png,Slavia Praha,266,https://drop-assets.ea.com/images/50ZlXnzmauE6zv0Hn5WifN/8d941df874a7753f22f33585999fa0ce/l266.png,CB,70,69,34,52,57,68,76,Right,188,68,Česká Liga
236792,Tomáš Souček,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p236792.png?padding=0.7,Czech Republic,12,https://drop-assets.ea.com/images/3yIKmUj5BRZgJtSLR6do7t/484fa785d4f5c3f900ba80eddf3a70dc/f_12.png,West Ham,19,https://drop-assets.ea.com/images/60X4vXPDgGISHaqyOdUGkg/c7def9840658d49d646e4895e9e04e94/l19.png,CDM,78,45,72,71,68,78,82,Right,192,86,Premier League
,Vladimír Darida,,Czech Republic,,,,,,CM,71,61,70,72,75,67,56,Right,172,67,
253727,Lukáš Provod,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p253727.png?padding=0.7,Czech Republic,12,https://drop-assets.ea.com/images/3yIKmUj5BRZgJtSLR6do7t/484fa785d4f5c3f900ba80eddf3a70dc/f_12.png,Slavia Praha,266,https://drop-assets.ea.com/images/50ZlXnzmauE6zv0Hn5WifN/8d941df874a7753f22f33585999fa0ce/l266.png,CAM,78,76,75,78,78,64,82,Left,191,85,Česká Liga
245209,Michal Sadílek,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p245209.png?padding=0.7,Czech Republic,12,https://drop-assets.ea.com/images/3yIKmUj5BRZgJtSLR6do7t/484fa785d4f5c3f900ba80eddf3a70dc/f_12.png,Slavia Praha,266,https://drop-assets.ea.com/images/50ZlXnzmauE6zv0Hn5WifN/8d941df874a7753f22f33585999fa0ce/l266.png,CDM,76,53,58,75,71,72,79,Left,170,63,Česká Liga
247050,Pavel Šulc,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p247050.png?padding=0.7,Czech Republic,12,https://drop-assets.ea.com/images/3yIKmUj5BRZgJtSLR6do7t/484fa785d4f5c3f900ba80eddf3a70dc/f_12.png,OL,66,https://drop-assets.ea.com/images/s2BAEtejMk8pyJDqN3uyR/9938fd597d35ed59158d5b441aa07455/l66.png,CAM,77,71,73,74,77,39,64,Right,175,67,Ligue 1 McDonald's
71259,Lukáš Červ,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p71259.png?padding=0.7,Czech Republic,12,https://drop-assets.ea.com/images/3yIKmUj5BRZgJtSLR6do7t/484fa785d4f5c3f900ba80eddf3a70dc/f_12.png,Viktoria Plzeň,110468,https://drop-assets.ea.com/images/5LmNp7F4reMrhue3FZ3lD5/7222160e6e0c97516d2c783964ac3c8c/l110468.png,CDM,74,69,65,67,69,71,78,Right,182,74,Česká Liga
